date_value,country_code,confirmed,deaths,stringency_actual,stringency,stringency_legacy,stringency_legacy_disp
2020-01-22,GHA,0,0,0,0,0,0
2020-01-22,GIN,0,0,0,0,0,0
2020-01-22,GMB,0,0,0,0,0,0
2020-01-22,GRC,0,0,0,0,0,0
2020-01-22,GRL,0,0,0,0,0,0
2020-01-22,GTM,0,0,2.78,2.78,3.57,3.57
2020-01-22,GUM,0,0,0,0,0,0
2020-01-22,GUY,0,0,2.78,2.78,3.57,3.57
2020-01-22,HKG,0,0,13.89,13.89,17.86,17.86
2020-01-22,HND,0,0,0,0,0,0
2020-01-22,HRV,0,0,0,0,0,0
2020-01-22,HTI,0,0,0,0,0,0
2020-01-22,HUN,0,0,0,0,0,0
2020-01-22,IDN,0,0,8.33,8.33,13.1,13.1
2020-01-22,IND,0,0,0,0,0,0
2020-01-22,IRL,0,0,0,0,0,0
2020-01-22,IRN,0,0,0,0,0,0
2020-01-22,IRQ,0,0,0,0,0,0
2020-01-22,ISL,0,0,0,0,0,0
2020-01-22,ISR,0,0,0,0,0,0
2020-01-22,ITA,0,0,0,0,0,0
2020-01-22,JAM,0,0,0,0,0,0
2020-01-22,JOR,0,0,0,0,0,0
2020-01-22,JPN,2,0,2.78,2.78,3.57,3.57
2020-01-22,KAZ,0,0,0,0,0,0
2020-01-22,KEN,0,0,2.78,2.78,3.57,3.57
2020-01-22,KGZ,0,0,2.78,2.78,3.57,3.57
2020-01-22,KHM,0,0,0,0,0,0
2020-01-22,KIR,0,0,0,0,0,0
2020-01-22,KOR,1,0,0,0,0,0
2020-01-22,KWT,0,0,0,0,0,0
2020-01-22,ABW,0,0,0,0,0,0
2020-01-22,AFG,0,0,0,0,0,0
2020-01-22,AGO,0,0,0,0,0,0
2020-01-22,ALB,0,0,0,0,0,0
2020-01-22,AND,0,0,0,0,0,0
2020-01-22,ARE,0,0,0,0,0,0
2020-01-22,ARG,0,0,0,0,0,0
2020-01-22,AUS,0,0,0,0,0,0
2020-01-22,AUT,0,0,0,0,0,0
2020-01-22,AZE,0,0,0,0,0,0
2020-01-22,BDI,0,0,0,0,0,0
2020-01-22,BEL,0,0,0,0,0,0
2020-01-22,BEN,0,0,0,0,0,0
2020-01-22,BFA,0,0,0,0,0,0
2020-01-22,BGD,0,0,8.33,8.33,13.1,13.1
2020-01-22,BGR,0,0,0,0,0,0
2020-01-22,BHR,0,0,8.33,8.33,9.52,9.52
2020-01-22,BHS,0,0,5.56,5.56,9.52,9.52
2020-01-22,BIH,0,0,0,0,0,0
2020-01-22,BLR,0,0,0,0,0,0
2020-01-22,BLZ,0,0,0,0,0,0
2020-01-22,BMU,0,0,11.11,11.11,14.29,14.29
2020-01-22,BOL,0,0,0,0,0,0
2020-01-22,BRA,0,0,0,0,0,0
2020-01-22,BRB,0,0,11.11,11.11,14.29,14.29
2020-01-22,BRN,0,0,11.11,11.11,14.29,14.29
2020-01-22,BTN,0,0,8.33,8.33,13.1,13.1
2020-01-22,BWA,0,0,5.56,5.56,9.52,9.52
2020-01-22,CAF,0,0,0,0,0,0
2020-01-22,CAN,0,0,2.78,2.78,3.57,3.57
2020-01-22,CHE,0,0,0,0,0,0
2020-01-22,SVN,0,0,0,0,0,0
2020-01-22,SWE,0,0,0,0,0,0
2020-01-22,SWZ,0,0,0,0,0,0
2020-01-22,SYC,0,0,0,0,0,0
2020-01-22,SYR,0,0,0,0,0,0
2020-01-22,TCD,0,0,0,0,0,0
2020-01-22,TGO,0,0,0,0,0,0
2020-01-22,THA,4,0,0,0,0,0
2020-01-22,TJK,0,0,5.56,5.56,9.52,9.52
2020-01-22,TLS,0,0,0,0,0,0
