incident_count,offense_count,data_year
86915,86915,2011
74127,74127,2008
77774,77774,2009
57346,57346,2006
29352,29352,2003
1737,1737,1994
109646,109646,2016
26785,26785,2002
7610,7610,1998
46096,46096,2005
5787,5787,1997
88270,88270,2012
110993,110993,2017
3775,3775,1996
16480,16480,2000
68562,68562,2007
2450,2450,1995
82237,82237,2010
118466,118466,2018
88211,88211,2013
97115,97115,2015
89543,89543,2014
1374,1374,1992
1248,1248,1991
23733,23733,2001
141078,141078,2020
139855,139855,2019
9912,9912,1999
36345,36345,2004
1639,1639,1993
